"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2015",8,"Switzerland","tons",0.74
"Milk And Milk Products","Fresh milk","2015",9,"Switzerland","euroValue",881
"Milk And Milk Products","Fresh milk","2015",9,"Switzerland","tons",1.071
"Milk And Milk Products","Fresh milk","2015",10,"Switzerland","euroValue",2022
"Milk And Milk Products","Fresh milk","2015",10,"Switzerland","tons",1.697
"Milk And Milk Products","Fresh milk","2015",11,"Switzerland","euroValue",2140
"Milk And Milk Products","Fresh milk","2015",11,"Switzerland","tons",1.754
"Milk And Milk Products","Fresh milk","2015",12,"Switzerland","euroValue",1668
"Milk And Milk Products","Fresh milk","2015",12,"Switzerland","tons",2.111
"Milk And Milk Products","Fresh milk","2016",1,"Switzerland","euroValue",1222
"Milk And Milk Products","Fresh milk","2016",1,"Switzerland","tons",1.015
"Milk And Milk Products","Fresh milk","2016",2,"Switzerland","euroValue",1324
"Milk And Milk Products","Fresh milk","2016",2,"Switzerland","tons",1.205
"Milk And Milk Products","Fresh milk","2016",3,"Switzerland","euroValue",3406
"Milk And Milk Products","Fresh milk","2016",3,"Switzerland","tons",1.705
"Milk And Milk Products","Fresh milk","2016",4,"Switzerland","euroValue",8035
"Milk And Milk Products","Fresh milk","2016",4,"Switzerland","tons",2.831
"Milk And Milk Products","Fresh milk","2016",5,"Switzerland","euroValue",4921
"Milk And Milk Products","Fresh milk","2016",5,"Switzerland","tons",2.348
"Milk And Milk Products","Fresh milk","2016",6,"Switzerland","euroValue",4840
"Milk And Milk Products","Fresh milk","2016",6,"Switzerland","tons",2.113
"Milk And Milk Products","Fresh milk","2016",7,"Switzerland","euroValue",5928
"Milk And Milk Products","Fresh milk","2016",7,"Switzerland","tons",2.081
"Milk And Milk Products","Fresh milk","2016",8,"Switzerland","euroValue",5643
"Milk And Milk Products","Fresh milk","2016",8,"Switzerland","tons",1.982
"Milk And Milk Products","Fresh milk","2016",9,"Switzerland","euroValue",8230
"Milk And Milk Products","Fresh milk","2016",9,"Switzerland","tons",3.003
